Schulnummer,Name1,Name2,Zusatz1,Zusatz2,Zusatz3,Strasse,PLZ,Ort,SchulleiterName,SchulleiterVorname,SchulleiterTitel,SchulleiterGeschlecht,Vorwahl,Telefon,Fax,EMail,Ganztagsschule,GanztagsForm,Schulart1,Schulart2,Schulart3,Schulart4,Schulart5,Schulart6,Schulart7,Schulart8,Schulart9,Schulart10,Schulart11,Planbezirk,Schulform,Internet
002,Schule an der Admiralstraße,,,,,Winterstr. 20,28215,Bremen,Mehlhop,Jantje,,W,0421,361-8110,361-8177,002@bildung.bremen.de,J,offene Ganztagsschule,VBK G,G,,,,,,,,,,Findorff / Walle,Grundschule,http://www.admiral.schule.bremen.de/
003,Schule am Alten Postweg,,,,,Alter Postweg 302,28207,Bremen,Gerber,Sebastian,,M,0421,361-3376,361-81258,003@bildung.bremen.de,N,,VBK G,G,,,,,,,,,,Hemelingen,Grundschule,http://www.schule-alter-postweg.de
005,Schule Am Mönchshof,,,,,Hindenburgstr. 33 A,28717,Bremen,Engelhaupt,Christine,,W,0421,361-7165,361-79 587,005@bildung.bremen.de,N,,VBK G,G,,,,,,,,,,Burglesum,Grundschule,http://www.schule-am-moenchshof.de
006,Schule An der Gete,,,,,An der Gete 103,28211,Bremen,Hokema,Tido,,M,0421,361-3158,,006@bildung.bremen.de,J,gebundene Ganztagsschule,VBK G,G,,,,,,,,,,Schwachhausen,Grundschule,http://www.gs-an-der-gete.de
007,Schule an der Alfred-Faust-Straße,,,,,Alfred-Faust-Str. 34,28277,Bremen,Langer,Christiane,,W,0421,361-3511,361-18239,007@bildung.bremen.de,J,offene Ganztagsschule,VBK G,G,,,,,,,,,,Obervieland,Grundschule,
008,Schule Arbergen,,,,,Heisiusstr. 7,28307,Bremen,Deitschun,Ulrike,,W,0421,480548,4843429,008@bildung.bremen.de,J,offene Ganztagsschule,G,,,,,,,,,,,Hemelingen,Grundschule,http://grundschule-arbergen.de
009,Schule Arsten,,,,,Korbhauser Weg 1,28279,Bremen,Huse,Antje,,W,0421,361-3130,361-96001,009@bildung.bremen.de,N,,VBK G,G,,,,,,,,,,Obervieland,Grundschule,http://www.schule-arsten.de
010,Schule Auf den Heuen,,,,,An der Fuchtelkuhle 15,28239,Bremen,Lesniarek-Spiess,Ute,,W,0421,361-9275,361-79682,010@bildung.bremen.de,J,gebundene Ganztagsschule,G,,,,,,,,,,,Gröpelingen,Grundschule,http://www.aufdenheuen.de
011,Schule an der Andernacher Straße,,,,,Andernacher Str. 6,28325,Bremen,Mörk,Isolde,,W,0421,361-3364,361-59054,011@bildung.bremen.de,J,gebundene Ganztagsschule,VBK G,G,,,,,,,,,,Osterholz,Grundschule,http://www.gts-tenever.de
012,Schule an der Augsburger Straße,,,,,Augsburger Str. 175,28215,Bremen,Drewes,Andrea,,W,0421,361-8370,361-3590,012@bildung.bremen.de,J,gebundene Ganztagsschule,VBK G,G,,,,,,,,,,Findorff / Walle,Grundschule,http://www.gs-augsburger-strasse.de
013,Schule Alt-Aumund,,,,,Ritterkamp 10,28757,Bremen,Ahrens,Heike,,W,0421,361-7651,361-79386,013@bildung.bremen.de,J,gebundene Ganztagsschule,VBK G,G,,,,,,,,,,Vegesack,Grundschule,http://www.schule-alt-aumund.de
014,Schule Am Wasser,,,,,Tidemanstr. 11,28759,Bremen,Drüke,Astrid,,W,0421,361-7622,361-79416,014@bildung.bremen.de,N,,VBK G,G,,,,,,,,,,Vegesack,Grundschule,http://www.bunte-wege-grohn.de/index.php/grundschule-am-wasser
015,Schule am Baumschulenweg,,,,,Baumschulenweg 12,28213,Bremen,Beulke,Lars,,M,0421,361-3162,361-89362,015@bildung.bremen.de,J,gebundene Ganztagsschule,G,,,,,,,,,,,Schwachhausen,Grundschule,http://www.grundschule-baumschulenweg.de
016,Schule an der Parsevalstraße,,,,,Parsevalstr. 2,28309,Bremen,Schmidt,Jutta,,W,0421,361-3048,361-16958,016@bildung.bremen.de,J,gebundene Ganztagsschule,G,,,,,,,,,,,Hemelingen,Grundschule,http://www.parseval.schule.bremen.de
018,Schule Borchshöhe,,,,,Auf dem Flintacker 51,28755,Bremen,Ruge-Strudthoff,Gunda,,W,0421,361-7383,361-79387,018@bildung.bremen.de,J,gebundene Ganztagsschule,G,,,,,,,,,,,Vegesack,Grundschule,http://www.schule-borchshöhe.de/
019,Schule Borgfeld,,,,,Katrepeler Landstr. 1,28357,Bremen,Claussen,Barbara,,W,0421,361-3086,361-89077,019@bildung.bremen.de,J,offene Ganztagsschule,G,,,,,,,,,,,Horn/Borgf./Oberneuland,Grundschule,http://www.schule-borgfeld.de
